,Grade,Small,Regular,Regular/Aide
0,K,0.46863468634686345,0.4762557077625571,0.5008968609865471
1,K,0.6837111228255139,0.6753424657534246,0.6591928251121076
2,K,5.255666732788086,5.239269256591797,5.241255760192871
3,K,0.4860305745914602,0.5168949771689497,0.5282511210762332
4,K,15.402741432189941,22.38127899169922,23.20672607421875
5,K,52.410121244069586,47.422146118721464,47.275336322869954
6,First,0.5740740740740741,0.6047430830039525,0.5846501128668171
7,First,0.6164021164021164,0.5602766798418972,0.6489841986455982
8,First,5.608465671539307,5.692687511444092,5.691873550415039
9,First,0.5211640211640212,0.5069169960474308,0.4582392776523702
10,First,15.865078926086426,22.686758041381836,23.406320571899414
11,First,45.71031746031746,40.77865612648221,44.89785553047404
12,Second,0.6373626373626373,0.5956454121306376,0.608359133126935
13,Second,0.532967032967033,0.5474339035769828,0.4504643962848297
14,Second,5.725274562835693,5.744945526123047,5.77089786529541
15,Second,0.5211640211640212,0.5069169960474308,0.4582392776523702
16,Second,15.865078926086426,22.686758041381836,23.406320571899414
17,Second,37.05631868131868,38.74183514774494,34.87770897832817
18,Third,0.5698924731182796,0.5899772209567198,0.6359447004608295
19,Third,0.6612903225806451,0.5854214123006833,0.5552995391705069
20,Third,5.776881694793701,5.7494306564331055,5.838709831237793
21,Third,NA,NA,NA
22,Third,15.865078926086426,22.686758041381836,23.406320571899414
23,Third,34.663978494623656,36.857630979498865,34.64055299539171
